DATE,TCP_Number,ESTC_Number,AUTHOR,PUBLISHER,WORD COUNT,TITLE,,,,,,,,
1796,K000934.000,N1500,Paine Thomas 1737-1809,London : printed and sold by Daniel Isaac Eaton No. 74 Newgate-Street,67326,THE AMERICAN CRISIS AND A LETTER TO SIR GUY CARLETON ON THE MURDER OF CAPTAIN HUDDY AND THE INTENDED RETALIATION ON CAPTAIN ASGILL OF THE GUARDS.,,,,,,,,
1757,K006151.000,N10432,Gray Thomas 1716-1771,Dublin : printed for G. Faulkner in Essex-Street and J. Rudd at the Apollo in Dame-Street,1939,ODES BY Mr. GRAY Author of an Elegy in a Country Church-Yard.,,,,,,,,
1773,K019955.000,T236,Barbauld Mrs. (Anna Letitia) 1743-1825,London : printed for Joseph Johnson in St. Paul's Church-Yard,13713,POEMS.,,,,,,,,
1733,K020978.000,T1728,Gay John 1685-1732,London : printed for J. Watts at the Printing-Office in Wild-Court near Lincoln's-Inn-Fields,15068,ACHILLES. AN OPERA. As it is Perform'd at the Theatre-Royal in Covent-Garden.,,,,,,,,
1753,K021626.000,T2690,Hogarth William 1697-1764,London : printed by J. Reeves for the author and sold by him at his house in Leicester-Fields,44433,THE ANALYSIS OF BEAUTY.,,,,,,,,
1777,K022415.000,T4525,Paley William 1743-1805,Cambridge : printed by J. Archdeacon Printer to the University; for T. &amp;#38; J. Merrill in Cambridg,2244,Caution recommended in the Use and Application of Scripture Language.,,,,,,,,
1728,K023025.000,T5537,Pope Alexander 1688-1744,[London] : Dublin printed London re-printed for A. Dodd,8215,THE DUNCIAD. AN Heroic Poem.,,,,,,,,
1714,K023176.000,T5726,Pope Alexander 1688-1744,London : printed for Bernard Lintott at the Cross-Keys in Fleetstreet,6388,THE RAPE of the LOCK. AN HEROI-COMICAL POEM. In FIVE CANTO'S.,,,,,,,,
1782,K027775.000,T14895,Cowper William 1731-1800,London : printed for J. Johnson No. 72 St. Paul's Church Yard,50226,POEMS BY WILLIAM COWPER Of the INNER TEMPLE ESQ.,,,,,,,,
1785,K027776.000,T14896,Cowper William 1731-1800,London : printed for J. Johnson,47718,THE TASK A POEM IN SIX BOOKS.,,,,,,,,
1702,K029412.000,T18650,Newton Isaac Sir 1642-1727,London : printed and sold by A. Baldwin in Warwick-Lane,3095,A New and most Accurate THEORY OF THE Moon's Motion; Whereby all her Irregularities may be solved and her Place truly calculated to Two Minutes.,,,,,,,,
1723,K032308.000,T26858,Centlivre Susanna 1667?-1723,London : printed for T. Payne near Stationers-Hall,28185,THE ARTIFICE. A COMEDY.,,,,,,,,
1739,K034809.000,T31323,Wesley John 1703-1791,London : printed by William Strahan; and sold by James Hutton Bookseller at the Bible and Sun,33889,HYMNS AND SACRED POEMS.,,,,,,,,
1786,K035592.000,T32526,Berkeley George Monck 1763-1793,London : printed for H. D. Symonds Stationer's Court Ludgate-Street,1309,AN ELEGY ON THE DEATH of MISS Ms. ELDEST DAUGHTER OF D M ESQ. OF THE F H C BERKSHIRE. WHO DIED THE 8th OF JULY 1785.,,,,,,,,
