Source,Target,Label,Weight,Type
Francis Coles,Edward Crouch,F. Coles to E. Crouch,50,Undirected
Francis Coles,Augustine Matthews,F. Coles to A. Matthews,22,Undirected
Francis Coles,Marmaduke Parsons,F. Coles to M. Parsons,12,Undirected
Francis Coles,Elizabeth Purslowe,F. Coles to E. Purslowe,18,Undirected
Francis Coles,Thomas Vere,F. Coles to T. Vere,25,Undirected
Francis Coles,William Gilbertson,F. Coles to W. Gilbertson,5,Undirected
Francis Coles,John Wright, F. Coles to J. Wright,10,Undirected
Francis Coles,John Clark,F. Coles to J. Clark,5,Undirected
Francis Coles,Mary Wright,F. Coles to M. Wright,19,Undirected
Francis Coles,Thomas Passinger,F. Coles to T. Passinger,7,Undirected
John Clark,Thomas Passinger,J. to T. Passinger,42,Undirected
John Clark,William Thackeray,J. Clark to W. Thackeray,16,Undirected
Thomas Passinger,William Thackeray,T. Passinger to W. Thackeray,35,Undirected
Thomas Vere,Edward Crouch,T. Vere to Edward Crouch,15,Undirected
Thomas Vere,William Gilbertson,T. Vere to W. Gilbertson,22,Undirected
Thomas Vere,John Wright,T. Vere to J. Wright,19,Undirected
Thomas Vere,John Clark,T. Vere to J. Clark,5,Undirected
Thomas Vere,Thomas Passinger,T. Vere to T. Passinger,26,Undirected
Thomas Vere,Mary Wright,T. Vere to M. Wright,5,Undirected
William Thackeray,Augustine Matthews,W. Thackeray to A. Matthews,19,Undirected
