Label,Type,Description
Francis Coles,Person,Printer/Publisher
John Clark,Person,Printer/Publisher
Thomas Passinger,Person,Printer/Publisher
William Thackeray,Person,Printer/Publisher
Edward Crouch,Person,Printer/Publisher
Augustine Matthews,Person,Printer/Publisher
Marmaduke Parsons,Person,Printer/Publisher
Elizabeth Purslowe,Person,Printer/Publisher
Thomas Vere,Person,Printer/Publisher
William Gilbertson,Person,Printer/Publisher
John Wright,Person,Printer/Publisher
Mary Wright,Person,Printer/Publisher
